Description,Name,Lookup Type,Cable Instance,DT Suffix,Size,Color Full,Color,Conn_Designation,Channel,PLC Conn ID
Belden 8619 120V 2 Cables 2 PLC Conns per Channel,8619_120_2Cable_2Conn,Channel_Conn,0,#1,18 AWG,Red,RED,,0,0
Belden 8619 120V 2 Cables 2 PLC Conns per Channel,8619_120_2Cable_2Conn,Channel_Conn,0,#1,18 AWG,Green,GRN,,0,1
Belden 8619 120V 2 Cables 2 PLC Conns per Channel,8619_120_2Cable_2Conn,Channel_Conn,0,#1,18 AWG,Orange,ORG,,1,0
Belden 8619 120V 2 Cables 2 PLC Conns per Channel,8619_120_2Cable_2Conn,Channel_Conn,0,#1,18 AWG,Blue,BLU,,1,1
Belden 8619 120V 2 Cables 2 PLC Conns per Channel,8619_120_2Cable_2Conn,Channel_Conn,0,#1,18 AWG,White/Black,WHT/BLK,,2,0
Belden 8619 120V 2 Cables 2 PLC Conns per Channel,8619_120_2Cable_2Conn,Channel_Conn,0,#1,18 AWG,Red/Black,RED/BLK,,2,1
Belden 8619 120V 2 Cables 2 PLC Conns per Channel,8619_120_2Cable_2Conn,Channel_Conn,0,#1,18 AWG,Green/Black,GRN/BLK,,3,0
Belden 8619 120V 2 Cables 2 PLC Conns per Channel,8619_120_2Cable_2Conn,Channel_Conn,0,#1,18 AWG,Orange/Black,ORG/BLK,,3,1
Belden 8619 120V 2 Cables 2 PLC Conns per Channel,8619_120_2Cable_2Conn,Channel_Conn,0,#1,18 AWG,Blue/Black,BLU/BLK,,4,0
Belden 8619 120V 2 Cables 2 PLC Conns per Channel,8619_120_2Cable_2Conn,Channel_Conn,0,#1,18 AWG,Black/White,BLK/WHT,,4,1
Belden 8619 120V 2 Cables 2 PLC Conns per Channel,8619_120_2Cable_2Conn,Channel_Conn,0,#1,18 AWG,Red/White,RED/WHT,,5,0
Belden 8619 120V 2 Cables 2 PLC Conns per Channel,8619_120_2Cable_2Conn,Channel_Conn,0,#1,18 AWG,Green/White,GRN/WHT,,5,1
Belden 8619 120V 2 Cables 2 PLC Conns per Channel,8619_120_2Cable_2Conn,Channel_Conn,0,#1,18 AWG,Blue/White,BLU/WHT,,6,0
Belden 8619 120V 2 Cables 2 PLC Conns per Channel,8619_120_2Cable_2Conn,Channel_Conn,0,#1,18 AWG,Black/Red,BLK/RED,,6,1
Belden 8619 120V 2 Cables 2 PLC Conns per Channel,8619_120_2Cable_2Conn,Channel_Conn,0,#1,18 AWG,White/Red,WHT/RED,,7,0
Belden 8619 120V 2 Cables 2 PLC Conns per Channel,8619_120_2Cable_2Conn,Channel_Conn,0,#1,18 AWG,Orange/Red,ORG/RED,,7,1
Belden 8619 120V 2 Cables 2 PLC Conns per Channel,8619_120_2Cable_2Conn,Channel_Conn,0,#1,18 AWG,Blue/Red,BLU/RED,,,
Belden 8619 120V 2 Cables 2 PLC Conns per Channel,8619_120_2Cable_2Conn,Channel_Conn,0,#1,18 AWG,Black,BLK,,T,0
Belden 8619 120V 2 Cables 2 PLC Conns per Channel,8619_120_2Cable_2Conn,Channel_Conn,0,#1,18 AWG,White,WHT,,,
Belden 8619 120V 2 Cables 2 PLC Conns per Channel,8619_120_2Cable_2Conn,Channel_Conn,1,#2,18 AWG,Red,RED,,8,0
Belden 8619 120V 2 Cables 2 PLC Conns per Channel,8619_120_2Cable_2Conn,Channel_Conn,1,#2,18 AWG,Green,GRN,,8,1
Belden 8619 120V 2 Cables 2 PLC Conns per Channel,8619_120_2Cable_2Conn,Channel_Conn,1,#2,18 AWG,Orange,ORG,,9,0
Belden 8619 120V 2 Cables 2 PLC Conns per Channel,8619_120_2Cable_2Conn,Channel_Conn,1,#2,18 AWG,Blue,BLU,,9,1
Belden 8619 120V 2 Cables 2 PLC Conns per Channel,8619_120_2Cable_2Conn,Channel_Conn,1,#2,18 AWG,White/Black,WHT/BLK,,10,0
Belden 8619 120V 2 Cables 2 PLC Conns per Channel,8619_120_2Cable_2Conn,Channel_Conn,1,#2,18 AWG,Red/Black,RED/BLK,,10,1
Belden 8619 120V 2 Cables 2 PLC Conns per Channel,8619_120_2Cable_2Conn,Channel_Conn,1,#2,18 AWG,Green/Black,GRN/BLK,,11,0
Belden 8619 120V 2 Cables 2 PLC Conns per Channel,8619_120_2Cable_2Conn,Channel_Conn,1,#2,18 AWG,Orange/Black,ORG/BLK,,11,1
Belden 8619 120V 2 Cables 2 PLC Conns per Channel,8619_120_2Cable_2Conn,Channel_Conn,1,#2,18 AWG,Blue/Black,BLU/BLK,,12,0
Belden 8619 120V 2 Cables 2 PLC Conns per Channel,8619_120_2Cable_2Conn,Channel_Conn,1,#2,18 AWG,Black/White,BLK/WHT,,12,1
Belden 8619 120V 2 Cables 2 PLC Conns per Channel,8619_120_2Cable_2Conn,Channel_Conn,1,#2,18 AWG,Red/White,RED/WHT,,13,0
Belden 8619 120V 2 Cables 2 PLC Conns per Channel,8619_120_2Cable_2Conn,Channel_Conn,1,#2,18 AWG,Green/White,GRN/WHT,,13,1
Belden 8619 120V 2 Cables 2 PLC Conns per Channel,8619_120_2Cable_2Conn,Channel_Conn,1,#2,18 AWG,Blue/White,BLU/WHT,,14,0
Belden 8619 120V 2 Cables 2 PLC Conns per Channel,8619_120_2Cable_2Conn,Channel_Conn,1,#2,18 AWG,Black/Red,BLK/RED,,14,1
Belden 8619 120V 2 Cables 2 PLC Conns per Channel,8619_120_2Cable_2Conn,Channel_Conn,1,#2,18 AWG,White/Red,WHT/RED,,15,0
Belden 8619 120V 2 Cables 2 PLC Conns per Channel,8619_120_2Cable_2Conn,Channel_Conn,1,#2,18 AWG,Orange/Red,ORG/RED,,15,1
Belden 8619 120V 2 Cables 2 PLC Conns per Channel,8619_120_2Cable_2Conn,Channel_Conn,1,#2,18 AWG,Blue/Red,BLU/RED,,,
Belden 8619 120V 2 Cables 2 PLC Conns per Channel,8619_120_2Cable_2Conn,Channel_Conn,1,#2,18 AWG,Black,BLK,,,
Belden 8619 120V 2 Cables 2 PLC Conns per Channel,8619_120_2Cable_2Conn,Channel_Conn,1,#2,18 AWG,White,WHT,,B,0
,,,,,,,,,,
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,0,#1,18 AWG,Red,RED,,0,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,0,#1,18 AWG,Green,GRN,,1,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,0,#1,18 AWG,Orange,ORG,,2,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,0,#1,18 AWG,Blue,BLU,,3,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,0,#1,18 AWG,White/Black,WHT/BLK,,4,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,0,#1,18 AWG,Red/Black,RED/BLK,,5,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,0,#1,18 AWG,Green/Black,GRN/BLK,,6,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,0,#1,18 AWG,Orange/Black,ORG/BLK,,7,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,0,#1,18 AWG,Blue/Black,BLU/BLK,,8,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,0,#1,18 AWG,Black/White,BLK/WHT,,9,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,0,#1,18 AWG,Red/White,RED/WHT,,10,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,0,#1,18 AWG,Green/White,GRN/WHT,,11,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,0,#1,18 AWG,Blue/White,BLU/WHT,,12,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,0,#1,18 AWG,Black/Red,BLK/RED,,13,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,0,#1,18 AWG,White/Red,WHT/RED,,14,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,0,#1,18 AWG,Orange/Red,ORG/RED,,15,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,0,#1,18 AWG,Blue/Red,BLU/RED,,,
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,0,#1,18 AWG,Black,BLK,,T,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,0,#1,18 AWG,White,WHT,,,
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,1,#2,18 AWG,Red,RED,,16,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,1,#2,18 AWG,Green,GRN,,17,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,1,#2,18 AWG,Orange,ORG,,18,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,1,#2,18 AWG,Blue,BLU,,19,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,1,#2,18 AWG,White/Black,WHT/BLK,,20,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,1,#2,18 AWG,Red/Black,RED/BLK,,21,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,1,#2,18 AWG,Green/Black,GRN/BLK,,22,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,1,#2,18 AWG,Orange/Black,ORG/BLK,,23,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,1,#2,18 AWG,Blue/Black,BLU/BLK,,24,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,1,#2,18 AWG,Black/White,BLK/WHT,,25,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,1,#2,18 AWG,Red/White,RED/WHT,,26,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,1,#2,18 AWG,Green/White,GRN/WHT,,27,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,1,#2,18 AWG,Blue/White,BLU/WHT,,28,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,1,#2,18 AWG,Black/Red,BLK/RED,,29,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,1,#2,18 AWG,White/Red,WHT/RED,,30,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,1,#2,18 AWG,Orange/Red,ORG/RED,,31,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,1,#2,18 AWG,Blue/Red,BLU/RED,,,
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,1,#2,18 AWG,Black,BLK,,,
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,1,#2,18 AWG,White,WHT,,B,0
,,,,,,,,,,
Belden 8619 120V 1 Cables 2 PLC Conns per Channel,8619_120_1Cable_2Conn,Channel_Conn,0,,18 AWG,Red,RED,,0,0
Belden 8619 120V 1 Cables 2 PLC Conns per Channel,8619_120_1Cable_2Conn,Channel_Conn,0,,18 AWG,Green,GRN,,0,1
Belden 8619 120V 1 Cables 2 PLC Conns per Channel,8619_120_1Cable_2Conn,Channel_Conn,0,,18 AWG,Orange,ORG,,1,0
Belden 8619 120V 1 Cables 2 PLC Conns per Channel,8619_120_1Cable_2Conn,Channel_Conn,0,,18 AWG,Blue,BLU,,1,1
Belden 8619 120V 1 Cables 2 PLC Conns per Channel,8619_120_1Cable_2Conn,Channel_Conn,0,,18 AWG,White/Black,WHT/BLK,,2,0
Belden 8619 120V 1 Cables 2 PLC Conns per Channel,8619_120_1Cable_2Conn,Channel_Conn,0,,18 AWG,Red/Black,RED/BLK,,2,1
Belden 8619 120V 1 Cables 2 PLC Conns per Channel,8619_120_1Cable_2Conn,Channel_Conn,0,,18 AWG,Green/Black,GRN/BLK,,3,0
Belden 8619 120V 1 Cables 2 PLC Conns per Channel,8619_120_1Cable_2Conn,Channel_Conn,0,,18 AWG,Orange/Black,ORG/BLK,,3,1
Belden 8619 120V 1 Cables 2 PLC Conns per Channel,8619_120_1Cable_2Conn,Channel_Conn,0,,18 AWG,Blue/Black,BLU/BLK,,4,0
Belden 8619 120V 1 Cables 2 PLC Conns per Channel,8619_120_1Cable_2Conn,Channel_Conn,0,,18 AWG,Black/White,BLK/WHT,,4,1
Belden 8619 120V 1 Cables 2 PLC Conns per Channel,8619_120_1Cable_2Conn,Channel_Conn,0,,18 AWG,Red/White,RED/WHT,,5,0
Belden 8619 120V 1 Cables 2 PLC Conns per Channel,8619_120_1Cable_2Conn,Channel_Conn,0,,18 AWG,Green/White,GRN/WHT,,5,1
Belden 8619 120V 1 Cables 2 PLC Conns per Channel,8619_120_1Cable_2Conn,Channel_Conn,0,,18 AWG,Blue/White,BLU/WHT,,6,0
Belden 8619 120V 1 Cables 2 PLC Conns per Channel,8619_120_1Cable_2Conn,Channel_Conn,0,,18 AWG,Black/Red,BLK/RED,,6,1
Belden 8619 120V 1 Cables 2 PLC Conns per Channel,8619_120_1Cable_2Conn,Channel_Conn,0,,18 AWG,White/Red,WHT/RED,,7,0
Belden 8619 120V 1 Cables 2 PLC Conns per Channel,8619_120_1Cable_2Conn,Channel_Conn,0,,18 AWG,Orange/Red,ORG/RED,,7,1
Belden 8619 120V 1 Cables 2 PLC Conns per Channel,8619_120_1Cable_2Conn,Channel_Conn,0,,18 AWG,Blue/Red,BLU/RED,,,
Belden 8619 120V 1 Cables 2 PLC Conns per Channel,8619_120_1Cable_2Conn,Channel_Conn,0,,18 AWG,Black,BLK,,T,0
Belden 8619 120V 1 Cables 2 PLC Conns per Channel,8619_120_1Cable_2Conn,Channel_Conn,0,,18 AWG,White,WHT,,B,0
,,,,,,,,,,
Belden 8619 120V 1 Cables 1 PLC Conns per Channel,8619_120_1Cable_1Conn,Channel_Conn,0,,18 AWG,Red,RED,,0,0
Belden 8619 120V 1 Cables 1 PLC Conns per Channel,8619_120_1Cable_1Conn,Channel_Conn,0,,18 AWG,Green,GRN,,1,0
Belden 8619 120V 1 Cables 1 PLC Conns per Channel,8619_120_1Cable_1Conn,Channel_Conn,0,,18 AWG,Orange,ORG,,2,0
Belden 8619 120V 1 Cables 1 PLC Conns per Channel,8619_120_1Cable_1Conn,Channel_Conn,0,,18 AWG,Blue,BLU,,3,0
Belden 8619 120V 1 Cables 1 PLC Conns per Channel,8619_120_1Cable_1Conn,Channel_Conn,0,,18 AWG,White/Black,WHT/BLK,,4,0
Belden 8619 120V 1 Cables 1 PLC Conns per Channel,8619_120_1Cable_1Conn,Channel_Conn,0,,18 AWG,Red/Black,RED/BLK,,5,0
Belden 8619 120V 1 Cables 1 PLC Conns per Channel,8619_120_1Cable_1Conn,Channel_Conn,0,,18 AWG,Green/Black,GRN/BLK,,6,0
Belden 8619 120V 1 Cables 1 PLC Conns per Channel,8619_120_1Cable_1Conn,Channel_Conn,0,,18 AWG,Orange/Black,ORG/BLK,,7,0
Belden 8619 120V 1 Cables 1 PLC Conns per Channel,8619_120_1Cable_1Conn,Channel_Conn,0,,18 AWG,Blue/Black,BLU/BLK,,8,0
Belden 8619 120V 1 Cables 1 PLC Conns per Channel,8619_120_1Cable_1Conn,Channel_Conn,0,,18 AWG,Black/White,BLK/WHT,,9,0
Belden 8619 120V 1 Cables 1 PLC Conns per Channel,8619_120_1Cable_1Conn,Channel_Conn,0,,18 AWG,Red/White,RED/WHT,,10,0
Belden 8619 120V 1 Cables 1 PLC Conns per Channel,8619_120_1Cable_1Conn,Channel_Conn,0,,18 AWG,Green/White,GRN/WHT,,11,0
Belden 8619 120V 1 Cables 1 PLC Conns per Channel,8619_120_1Cable_1Conn,Channel_Conn,0,,18 AWG,Blue/White,BLU/WHT,,12,0
Belden 8619 120V 1 Cables 1 PLC Conns per Channel,8619_120_1Cable_1Conn,Channel_Conn,0,,18 AWG,Black/Red,BLK/RED,,13,0
Belden 8619 120V 1 Cables 1 PLC Conns per Channel,8619_120_1Cable_1Conn,Channel_Conn,0,,18 AWG,White/Red,WHT/RED,,14,0
Belden 8619 120V 1 Cables 1 PLC Conns per Channel,8619_120_1Cable_1Conn,Channel_Conn,0,,18 AWG,Orange/Red,ORG/RED,,15,0
Belden 8619 120V 1 Cables 1 PLC Conns per Channel,8619_120_1Cable_1Conn,Channel_Conn,0,,18 AWG,Blue/Red,BLU/RED,,,
Belden 8619 120V 1 Cables 1 PLC Conns per Channel,8619_120_1Cable_1Conn,Channel_Conn,0,,18 AWG,Black,BLK,,T,0
Belden 8619 120V 1 Cables 1 PLC Conns per Channel,8619_120_1Cable_1Conn,Channel_Conn,0,,18 AWG,White,WHT,,B,0
,,,,,,,,,,
Belden 8619 24V 2 Cables 2 PLC Conns per Channel,8619_24_2Cable_2Conn,Channel_Conn,0,#1,18 AWG,Black,BLK,,0,0
Belden 8619 24V 2 Cables 2 PLC Conns per Channel,8619_24_2Cable_2Conn,Channel_Conn,0,#1,18 AWG,White,WHT,,0,1
Belden 8619 24V 2 Cables 2 PLC Conns per Channel,8619_24_2Cable_2Conn,Channel_Conn,0,#1,18 AWG,Red,RED,,1,0
Belden 8619 24V 2 Cables 2 PLC Conns per Channel,8619_24_2Cable_2Conn,Channel_Conn,0,#1,18 AWG,Green,GRN,,1,1
Belden 8619 24V 2 Cables 2 PLC Conns per Channel,8619_24_2Cable_2Conn,Channel_Conn,0,#1,18 AWG,Orange,ORG,,2,0
Belden 8619 24V 2 Cables 2 PLC Conns per Channel,8619_24_2Cable_2Conn,Channel_Conn,0,#1,18 AWG,White/Black,WHT/BLK,,2,1
Belden 8619 24V 2 Cables 2 PLC Conns per Channel,8619_24_2Cable_2Conn,Channel_Conn,0,#1,18 AWG,Red/Black,RED/BLK,,3,0
Belden 8619 24V 2 Cables 2 PLC Conns per Channel,8619_24_2Cable_2Conn,Channel_Conn,0,#1,18 AWG,Green/Black,GRN/BLK,,3,1
Belden 8619 24V 2 Cables 2 PLC Conns per Channel,8619_24_2Cable_2Conn,Channel_Conn,0,#1,18 AWG,Orange/Black,ORG/BLK,,4,0
Belden 8619 24V 2 Cables 2 PLC Conns per Channel,8619_24_2Cable_2Conn,Channel_Conn,0,#1,18 AWG,Blue/Black,BLU/BLK,,4,1
Belden 8619 24V 2 Cables 2 PLC Conns per Channel,8619_24_2Cable_2Conn,Channel_Conn,0,#1,18 AWG,Black/White,BLK/WHT,,5,0
Belden 8619 24V 2 Cables 2 PLC Conns per Channel,8619_24_2Cable_2Conn,Channel_Conn,0,#1,18 AWG,Red/White,RED/WHT,,5,1
Belden 8619 24V 2 Cables 2 PLC Conns per Channel,8619_24_2Cable_2Conn,Channel_Conn,0,#1,18 AWG,Green/White,GRN/WHT,,6,0
Belden 8619 24V 2 Cables 2 PLC Conns per Channel,8619_24_2Cable_2Conn,Channel_Conn,0,#1,18 AWG,Black/Red,BLK/RED,,6,1
Belden 8619 24V 2 Cables 2 PLC Conns per Channel,8619_24_2Cable_2Conn,Channel_Conn,0,#1,18 AWG,White/Red,WHT/RED,,7,0
Belden 8619 24V 2 Cables 2 PLC Conns per Channel,8619_24_2Cable_2Conn,Channel_Conn,0,#1,18 AWG,Orange/Red,ORG/RED,,7,1
Belden 8619 24V 2 Cables 2 PLC Conns per Channel,8619_24_2Cable_2Conn,Channel_Conn,0,#1,18 AWG,Blue/Red,BLU/RED,,,
Belden 8619 24V 2 Cables 2 PLC Conns per Channel,8619_24_2Cable_2Conn,Channel_Conn,0,#1,18 AWG,Blue,BLU,,T,0
Belden 8619 24V 2 Cables 2 PLC Conns per Channel,8619_24_2Cable_2Conn,Channel_Conn,0,#1,18 AWG,Blue/White,BLU/WHT,,B,0
Belden 8619 24V 2 Cables 2 PLC Conns per Channel,8619_24_2Cable_2Conn,Channel_Conn,1,#2,18 AWG,Black,BLK,,8,0
Belden 8619 24V 2 Cables 2 PLC Conns per Channel,8619_24_2Cable_2Conn,Channel_Conn,1,#2,18 AWG,White,WHT,,8,1
Belden 8619 24V 2 Cables 2 PLC Conns per Channel,8619_24_2Cable_2Conn,Channel_Conn,1,#2,18 AWG,Red,RED,,9,0
Belden 8619 24V 2 Cables 2 PLC Conns per Channel,8619_24_2Cable_2Conn,Channel_Conn,1,#2,18 AWG,Green,GRN,,9,1
Belden 8619 24V 2 Cables 2 PLC Conns per Channel,8619_24_2Cable_2Conn,Channel_Conn,1,#2,18 AWG,Orange,ORG,,10,0
Belden 8619 24V 2 Cables 2 PLC Conns per Channel,8619_24_2Cable_2Conn,Channel_Conn,1,#2,18 AWG,White/Black,WHT/BLK,,10,1
Belden 8619 24V 2 Cables 2 PLC Conns per Channel,8619_24_2Cable_2Conn,Channel_Conn,1,#2,18 AWG,Red/Black,RED/BLK,,11,0
Belden 8619 24V 2 Cables 2 PLC Conns per Channel,8619_24_2Cable_2Conn,Channel_Conn,1,#2,18 AWG,Green/Black,GRN/BLK,,11,1
Belden 8619 24V 2 Cables 2 PLC Conns per Channel,8619_24_2Cable_2Conn,Channel_Conn,1,#2,18 AWG,Orange/Black,ORG/BLK,,12,0
Belden 8619 24V 2 Cables 2 PLC Conns per Channel,8619_24_2Cable_2Conn,Channel_Conn,1,#2,18 AWG,Blue/Black,BLU/BLK,,12,1
Belden 8619 24V 2 Cables 2 PLC Conns per Channel,8619_24_2Cable_2Conn,Channel_Conn,1,#2,18 AWG,Black/White,BLK/WHT,,13,0
Belden 8619 24V 2 Cables 2 PLC Conns per Channel,8619_24_2Cable_2Conn,Channel_Conn,1,#2,18 AWG,Red/White,RED/WHT,,13,1
Belden 8619 24V 2 Cables 2 PLC Conns per Channel,8619_24_2Cable_2Conn,Channel_Conn,1,#2,18 AWG,Green/White,GRN/WHT,,14,0
Belden 8619 24V 2 Cables 2 PLC Conns per Channel,8619_24_2Cable_2Conn,Channel_Conn,1,#2,18 AWG,Black/Red,BLK/RED,,14,1
Belden 8619 24V 2 Cables 2 PLC Conns per Channel,8619_24_2Cable_2Conn,Channel_Conn,1,#2,18 AWG,White/Red,WHT/RED,,15,0
Belden 8619 24V 2 Cables 2 PLC Conns per Channel,8619_24_2Cable_2Conn,Channel_Conn,1,#2,18 AWG,Orange/Red,ORG/RED,,15,1
